Index,Item,Price
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,Raspberry PI 4 Heatsink Set (3pcs) Black,$1.25
21,Resistor 0.25W 5% (10K),$0.01
22,Breadboard 16.5x5.5cm (830 Holes),$1.05
23,2Amp 7V-30V L298N Motor Driver / Stepper Driver (2 Channels),$1.88 $1.69
24,Microbit Quick Start Kit (with micro:bit),$27.50 $24.75
25,NodeMCU Lua V3 ESP8266 WIFI with CH340C,$4.88
26,Resistor 0.25W 5% (1K),$0.01
27,Maker UNO Edu Kit (Arduino Compatible),$13.75 $12.48
28,5V 3A Adapter micro B c/w Switch (UK Plug),$6.25
29,LED 5mm Red,$0.03
30,Raspberry Pi Zero V1.3,$5.75
31,ESP-01 WiFi Serial Transceiver Module (ESP8266),$3.38
32,5MP Camera Board for Raspberry Pi,$10.00
33,Straight Pin Header (Male) 1x40 Ways,$0.15
34,Official Casing for Raspberry Pi 2 / 3B / 3B+ (White),$7.50
35,Low Cost PIR sensor Module,$1.25
36,Raspberry Pi Zero WH (with Header),$16.10
37,Bluetooth Serial Transceiver HC-05,$3.98
38,Resistor 0.25W 5% (220R),$0.01
39,Female to Female Jumper Wire,$0.50
40,10Amp 5V-30V DC Motor Driver (2 Channels),$19.25
41,SG90 Micro Servo,$1.75
42,Maker Drive: Simplifying H-Bridge Motor Driver for Beginner,$3.73
43,Raspberry PI 3 Heatsink Set (3pcs),$2.25
44,6x6x1 Push Button 2 Pins,$0.10
45,Maker pHAT: Simplifying Raspberry Pi for {Education},$9.90
46,Raspberry Pi 4 Model B - 1GB (Discontinued),$44.75 $43.50
47,High Speed HDMI Cable 1.5m,$2.25
48,LED 5mm Green,$0.03
49,Cytron ESP8266 WiFi Shield,$12.48
50,Raspberry Pi 3 Model B,$41.25
51,Mifare RC522 RFID Kit,$2.25
52,Raspberry Pi 8MP Camera Module V2,$28.75
53,5V 2.5A Adapter micro B USB cable (UK plug),$5.00
54,Crocodile Clip with Wire (10pcs),$1.63
55,2 Channel DC 5V Relay Module,$1.48
56,Arduino Uno Rev3-Main Board,$26.25
57,LDR(Small),$0.10
58,Infrared Sensor Module,$1.25
59,Single Channel 5V Relay Breakout Board,$1.25
60,Official RPi mini HDMI adapter,$1.50
61,USB B Type Cable,$0.80
62,2WD Smart Robot Car Chassis,$5.25 $4.75
63,Temperature Sensor (Celsius),$2.00 $1.00
64,I2C 1602 Serial LCD for Arduino & RPI,$2.88
65,3V Miniature Brush Motor with wire leads,$0.38
66,Resistor 0.25W 5% (330R),$0.01
67,10Amp 5V-30V DC Motor Driver,$11.50
68,Uno Compatible (CH340) with USB Cable,$4.50
69,Straight Female Header 1x40 Ways,$0.30
70,9 Layer Case for RPi 4 with Fan (Black),$5.50
